comparison,project,llm,generated_relative_path,original_relative_path,generated_complexity,original_complexity,delta_complexity,generated_complexity_per_100_ncloc,original_complexity_per_100_ncloc,delta_complexity_per_100_ncloc
original_vs_assisted,CodeAlpha_IrisClassification,chatgpt,CodeAlpha_IrisClassification/GENAIGREENML_assisted_chatgpt.py,CodeAlpha_IrisClassification/GENAIGREENML_original_telemetry_chatgpt.py,21,4,17,28.0000,11.4286,16.5714
original_vs_assisted,CodeAlpha_IrisClassification,claude,CodeAlpha_IrisClassification/GENAIGREENML_assisted_claude.py,CodeAlpha_IrisClassification/GENAIGREENML_original_telemetry_chatgpt.py,4,4,0,14.2857,11.4286,2.8571
original_vs_assisted,CodeAlpha_IrisClassification,codex,CodeAlpha_IrisClassification/GENAIGREENML_assisted_codex.py,CodeAlpha_IrisClassification/GENAIGREENML_original_telemetry_chatgpt.py,18,4,14,25,11.4286,13.5714
original_vs_assisted,CodeAlpha_IrisClassification,gemini,CodeAlpha_IrisClassification/GENAIGREENML_assisted_gemini.py,CodeAlpha_IrisClassification/GENAIGREENML_original_telemetry_chatgpt.py,6,4,2,18.1818,11.4286,6.7532
original_vs_autonomous,CodeAlpha_IrisClassification,chatgpt,CodeAlpha_IrisClassification/GENAIGREENML_autonomous_chatgpt.py,CodeAlpha_IrisClassification/GENAIGREENML_original_telemetry_chatgpt.py,59,4,55,29.7980,11.4286,18.3694
original_vs_autonomous,CodeAlpha_IrisClassification,claude,CodeAlpha_IrisClassification/GENAIGREENML_autonomous_claude.py,CodeAlpha_IrisClassification/GENAIGREENML_original_telemetry_chatgpt.py,11,4,7,17.4603,11.4286,6.0317
original_vs_autonomous,CodeAlpha_IrisClassification,codex,CodeAlpha_IrisClassification/GENAIGREENML_autonomous_codex.py,CodeAlpha_IrisClassification/GENAIGREENML_original_telemetry_chatgpt.py,73,4,69,35.7843,11.4286,24.3557
original_vs_autonomous,CodeAlpha_IrisClassification,gemini,CodeAlpha_IrisClassification/GENAIGREENML_autonomous_gemini.py,CodeAlpha_IrisClassification/GENAIGREENML_original_telemetry_chatgpt.py,15,4,11,24.1935,11.4286,12.7650
original_vs_assisted,Cuisine-Predictor,chatgpt,Cuisine-Predictor/GENAIGREENML_assisted_chatgpt.py,Cuisine-Predictor/GENAIGREENML_original_telemetry_chatgpt.py,17,19,-2,23.6111,22.8916,0.7195
original_vs_assisted,Cuisine-Predictor,claude,Cuisine-Predictor/GENAIGREENML_assisted_claude.py,Cuisine-Predictor/GENAIGREENML_original_telemetry_chatgpt.py,12,19,-7,23.0769,22.8916,0.1854
original_vs_assisted,Cuisine-Predictor,codex,Cuisine-Predictor/GENAIGREENML_assisted_codex.py,Cuisine-Predictor/GENAIGREENML_original_telemetry_chatgpt.py,65,19,46,42.4837,22.8916,19.5921
original_vs_assisted,Cuisine-Predictor,gemini,Cuisine-Predictor/GENAIGREENML_assisted_gemini.py,Cuisine-Predictor/GENAIGREENML_original_telemetry_chatgpt.py,17,19,-2,25,22.8916,2.1084
