project,relative_path,file,mode,llm,complexity,ncloc,cognitive_complexity,complexity_per_100_ncloc
CodeAlpha_IrisClassification,CodeAlpha_IrisClassification/GENAIGREENML_autonomous_chatgpt.py,GENAIGREENML_autonomous_chatgpt.py,autonomous,chatgpt,59,198,68,29.7980
CodeAlpha_IrisClassification,CodeAlpha_IrisClassification/GENAIGREENML_autonomous_claude.py,GENAIGREENML_autonomous_claude.py,autonomous,claude,11,63,14,17.4603
CodeAlpha_IrisClassification,CodeAlpha_IrisClassification/GENAIGREENML_autonomous_codex.py,GENAIGREENML_autonomous_codex.py,autonomous,codex,73,204,116,35.7843
CodeAlpha_IrisClassification,CodeAlpha_IrisClassification/GENAIGREENML_autonomous_gemini.py,GENAIGREENML_autonomous_gemini.py,autonomous,gemini,15,62,13,24.1935
CodeAlpha_IrisClassification,CodeAlpha_IrisClassification/GENAIGREENML_original_telemetry_chatgpt.py,GENAIGREENML_original_telemetry_chatgpt.py,original,baseline,4,35,4,11.4286
Cuisine-Predictor,Cuisine-Predictor/GENAIGREENML_assisted_chatgpt.py,GENAIGREENML_assisted_chatgpt.py,assisted,chatgpt,17,72,18,23.6111
Cuisine-Predictor,Cuisine-Predictor/GENAIGREENML_assisted_claude.py,GENAIGREENML_assisted_claude.py,assisted,claude,12,52,23,23.0769
Cuisine-Predictor,Cuisine-Predictor/GENAIGREENML_assisted_codex.py,GENAIGREENML_assisted_codex.py,assisted,codex,65,153,81,42.4837
Cuisine-Predictor,Cuisine-Predictor/GENAIGREENML_assisted_gemini.py,GENAIGREENML_assisted_gemini.py,assisted,gemini,17,68,17,25
Cuisine-Predictor,Cuisine-Predictor/GENAIGREENML_autonomous_chatgpt.py,GENAIGREENML_autonomous_chatgpt.py,autonomous,chatgpt,69,246,107,28.0488
Cuisine-Predictor,Cuisine-Predictor/GENAIGREENML_autonomous_codex.py,GENAIGREENML_autonomous_codex.py,autonomous,codex,66,213,128,30.9859
Cuisine-Predictor,Cuisine-Predictor/GENAIGREENML_autonomous_gemini.py,GENAIGREENML_autonomous_gemini.py,autonomous,gemini,26,76,26,34.2105
Cuisine-Predictor,Cuisine-Predictor/GENAIGREENML_original_telemetry_chatgpt.py,GENAIGREENML_original_telemetry_chatgpt.py,original,baseline,19,83,21,22.8916
Decision-Trees,Decision-Trees/GENAIGREENML_assisted_chatgpt.py,GENAIGREENML_assisted_chatgpt.py,assisted,chatgpt,69,295,77,23.3898
Decision-Trees,Decision-Trees/GENAIGREENML_assisted_claude.py,GENAIGREENML_assisted_claude.py,assisted,claude,60,151,75,39.7351
Decision-Trees,Decision-Trees/GENAIGREENML_assisted_codex.py,GENAIGREENML_assisted_codex.py,assisted,codex,74,213,67,34.7418
Decision-Trees,Decision-Trees/GENAIGREENML_assisted_gemini.py,GENAIGREENML_assisted_gemini.py,assisted,gemini,47,144,56,32.6389
Decision-Trees,Decision-Trees/GENAIGREENML_autonomous_chatgpt.py,GENAIGREENML_autonomous_chatgpt.py,autonomous,chatgpt,58,188,63,30.8511
Decision-Trees,Decision-Trees/GENAIGREENML_autonomous_codex.py,GENAIGREENML_autonomous_codex.py,autonomous,codex,70,198,122,35.3535
