timestamp,project,script,status,exit_code,accuracy,mem_delta_mb,exec_time_s,energy_j,notes
2026-03-12T10:50:23+0100,cars-classification,GENAIGREENML_assisted_codex.py,OK,0,0.703125,0.000,0.992213011,19.844,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:50:24+0100,cars-classification,GENAIGREENML_assisted_gemini.py,OK,0,0.703125,0.000,1.153593063,23.072,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:50:25+0100,cars-classification,GENAIGREENML_autonomous_chatgpt.py,OK,0,0.792453,0.000,1.157596350,23.152,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:50:26+0100,cars-classification,GENAIGREENML_autonomous_claude.py,OK,0,,0.000,1.149381161,22.988,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:50:28+0100,cars-classification,GENAIGREENML_autonomous_codex.py,OK,0,0.754717,0.000,1.044314146,20.886,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:50:29+0100,cars-classification,GENAIGREENML_autonomous_gemini.py,OK,0,0.000000,0.000,0.991465092,19.829,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:50:34+0100,Classification-with-xgboost-on-binary.csv-data,GENAIGREENML_original_telemetry_chatgpt.py,OK,0,0.625000,0.000,3.829722881,76.594,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:50:35+0100,Classification-with-xgboost-on-binary.csv-data,GENAIGREENML_assisted_chatgpt.py,OK,0,0.625000,0.000,1.002631903,20.053,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:50:36+0100,Classification-with-xgboost-on-binary.csv-data,GENAIGREENML_assisted_claude.py,OK,0,0.625000,0.000,1.002591848,20.052,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:50:37+0100,Classification-with-xgboost-on-binary.csv-data,GENAIGREENML_assisted_codex.py,OK,0,0.625000,0.000,1.145492792,22.910,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:50:38+0100,Classification-with-xgboost-on-binary.csv-data,GENAIGREENML_assisted_gemini.py,OK,0,0.625000,0.000,0.990626097,19.813,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:50:39+0100,Classification-with-xgboost-on-binary.csv-data,GENAIGREENML_autonomous_chatgpt.py,OK,0,0.737500,0.000,1.310838938,26.217,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:50:40+0100,Classification-with-xgboost-on-binary.csv-data,GENAIGREENML_autonomous_claude.py,OK,0,,0.000,1.035850286,20.717,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:50:41+0100,Classification-with-xgboost-on-binary.csv-data,GENAIGREENML_autonomous_codex.py,OK,0,0.725000,0.000,1.051176071,21.024,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:50:42+0100,Classification-with-xgboost-on-binary.csv-data,GENAIGREENML_autonomous_gemini.py,OK,0,0.675000,0.000,1.046614170,20.932,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:50:48+0100,CodeAlpha_IrisClassification,GENAIGREENML_original_telemetry_chatgpt.py,OK,0,,0.000,4.604402781,92.088,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:50:49+0100,CodeAlpha_IrisClassification,GENAIGREENML_assisted_chatgpt.py,OK,0,0.900000,0.000,1.217674971,24.353,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:50:50+0100,CodeAlpha_IrisClassification,GENAIGREENML_assisted_claude.py,OK,0,0.966667,0.000,0.997684956,19.954,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:50:51+0100,CodeAlpha_IrisClassification,GENAIGREENML_assisted_codex.py,OK,0,0.900000,0.000,1.155694008,23.114,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:50:52+0100,CodeAlpha_IrisClassification,GENAIGREENML_assisted_gemini.py,OK,0,0.900000,0.000,1.107323885,22.146,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:50:53+0100,CodeAlpha_IrisClassification,GENAIGREENML_autonomous_chatgpt.py,OK,0,0.933333,0.000,0.997587204,19.952,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:50:54+0100,CodeAlpha_IrisClassification,GENAIGREENML_autonomous_codex.py,OK,0,1.000000,0.000,1.055844784,21.117,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:50:56+0100,CodeAlpha_IrisClassification,GENAIGREENML_autonomous_gemini.py,OK,0,0.933333,0.000,1.048648834,20.973,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:51:00+0100,CT_Project,GENAIGREENML_original_telemetry_chatgpt.py,OK,0,0.966816,0.000,3.699193239,73.984,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:51:01+0100,CT_Project,GENAIGREENML_assisted_chatgpt.py,OK,0,0.965919,0.000,0.998651028,19.973,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:51:03+0100,CT_Project,GENAIGREENML_assisted_claude.py,OK,0,0.965919,0.000,1.044153929,20.883,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:51:04+0100,CT_Project,GENAIGREENML_assisted_codex.py,OK,0,0.966816,0.000,1.047561407,20.951,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:51:05+0100,CT_Project,GENAIGREENML_assisted_gemini.py,OK,0,0.966816,0.000,1.047589064,20.952,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:51:06+0100,CT_Project,GENAIGREENML_autonomous_chatgpt.py,OK,0,0.972197,0.000,1.049288034,20.986,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:51:07+0100,CT_Project,GENAIGREENML_autonomous_claude.py,OK,0,0.972197,0.000,1.056710005,21.134,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:51:08+0100,CT_Project,GENAIGREENML_autonomous_codex.py,OK,0,1.000000,0.000,1.108055830,22.161,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:51:09+0100,CT_Project,GENAIGREENML_autonomous_gemini.py,OK,0,0.972197,0.000,0.999014854,19.980,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:51:13+0100,Cuisine-Predictor,GENAIGREENML_original_telemetry_chatgpt.py,OK,0,0.769623,0.000,3.391681194,67.834,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:51:16+0100,Cuisine-Predictor,GENAIGREENML_assisted_chatgpt.py,OK,0,0.774526,0.000,2.340198755,46.804,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:51:22+0100,Cuisine-Predictor,GENAIGREENML_assisted_claude.py,OK,0,0.774576,0.000,5.896775961,117.936,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:51:23+0100,Cuisine-Predictor,GENAIGREENML_assisted_codex.py,OK,0,0.748479,0.000,1.264837027,25.297,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:51:24+0100,Cuisine-Predictor,GENAIGREENML_assisted_gemini.py,OK,0,0.774526,0.000,0.994157076,19.883,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:51:25+0100,Decision-Trees,GENAIGREENML_original_telemetry_chatgpt.py,OK,0,0.361446,0.000,0.237281084,4.746,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:51:25+0100,Decision-Trees,GENAIGREENML_assisted_chatgpt.py,OK,0,0.349398,0.000,0.125744820,2.515,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:51:26+0100,Decision-Trees,GENAIGREENML_assisted_claude.py,OK,0,,0.000,0.040576220,0.812,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:51:31+0100,DecisionTreeClassifier,GENAIGREENML_original_telemetry_chatgpt.py,OK,0,1.000000,0.000,3.826706886,76.534,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:51:32+0100,DecisionTreeClassifier,GENAIGREENML_assisted_chatgpt.py,OK,0,1.000000,0.000,1.050867081,21.017,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:51:33+0100,DecisionTreeClassifier,GENAIGREENML_assisted_claude.py,OK,0,1.000000,0.000,0.993934155,19.879,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:51:34+0100,DecisionTreeClassifier,GENAIGREENML_assisted_codex.py,OK,0,1.000000,0.000,1.005457878,20.109,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:51:35+0100,DecisionTreeClassifier,GENAIGREENML_assisted_gemini.py,OK,0,1.000000,0.000,1.054536819,21.091,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:51:36+0100,DecisionTreeClassifier,GENAIGREENML_autonomous_chatgpt.py,OK,0,0.000000,0.000,1.053879976,21.078,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:51:37+0100,DecisionTreeClassifier,GENAIGREENML_autonomous_claude.py,OK,0,1.000000,0.000,1.007498026,20.150,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:51:38+0100,DecisionTreeClassifier,GENAIGREENML_autonomous_codex.py,OK,0,1.000000,0.000,1.005897045,20.118,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:51:39+0100,DecisionTreeClassifier,GENAIGREENML_autonomous_gemini.py,OK,0,1.000000,0.000,1.002967119,20.059,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:51:56+0100,Deep-Learning-Classification,GENAIGREENML_original_telemetry_chatgpt.py,OK,0,0.800000,0.000,15.704721928,314.094,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:52:02+0100,Deep-Learning-Classification,GENAIGREENML_assisted_chatgpt.py,OK,0,0.811111,0.000,6.097457170,121.949,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:52:08+0100,Deep-Learning-Classification,GENAIGREENML_assisted_claude.py,OK,0,0.800000,0.000,6.037130117,120.743,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:52:13+0100,Deep-Learning-Classification,GENAIGREENML_assisted_codex.py,OK,0,0.833333,0.000,5.522106886,110.442,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:52:19+0100,Deep-Learning-Classification,GENAIGREENML_assisted_gemini.py,OK,0,0.833333,0.000,5.329971075,106.599,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:52:20+0100,Deep-Learning-Classification,GENAIGREENML_autonomous_chatgpt.py,OK,0,1.000000,0.000,1.198172092,23.963,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:52:21+0100,Deep-Learning-Classification,GENAIGREENML_autonomous_codex.py,OK,0,0.816667,0.000,1.051946878,21.039,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:52:22+0100,Deep-Learning-Classification,GENAIGREENML_autonomous_gemini.py,OK,0,0.816667,0.000,1.049340010,20.987,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:52:59+0100,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity,GENAIGREENML_original_telemetry_chatgpt.py,OK,0,0.813263,0.000,35.841456890,716.829,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:53:25+0100,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity,GENAIGREENML_assisted_chatgpt.py,OK,0,0.795769,0.000,26.150360107,523.007,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:53:51+0100,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity,GENAIGREENML_assisted_claude.py,OK,0,0.806846,0.000,25.524122953,510.482,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:54:13+0100,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity,GENAIGREENML_assisted_codex.py,OK,0,0.814076,0.000,22.161956072,443.239,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:54:35+0100,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity,GENAIGREENML_assisted_gemini.py,OK,0,0.782750,0.000,21.654303074,433.086,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:54:36+0100,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity,GENAIGREENML_autonomous_chatgpt.py,OK,0,0.681129,0.000,1.261166096,25.223,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:54:37+0100,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity,GENAIGREENML_autonomous_codex.py,OK,0,0.826667,0.000,1.102368116,22.047,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:54:38+0100,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity,GENAIGREENML_autonomous_gemini.py,OK,0,0.825405,0.000,1.109197855,22.184,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:54:46+0100,Diabetes-Classification-with-SVM,GENAIGREENML_original_telemetry_chatgpt.py,OK,0,0.645022,0.000,7.012209177,140.244,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:54:50+0100,Diabetes-Classification-with-SVM,GENAIGREENML_assisted_chatgpt.py,OK,0,0.645022,0.000,3.607025146,72.141,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:54:53+0100,Diabetes-Classification-with-SVM,GENAIGREENML_assisted_claude.py,OK,0,0.645022,0.000,3.247858047,64.957,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:54:56+0100,Diabetes-Classification-with-SVM,GENAIGREENML_assisted_codex.py,OK,0,0.645022,0.000,3.277073860,65.541,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:55:00+0100,Diabetes-Classification-with-SVM,GENAIGREENML_assisted_gemini.py,OK,0,0.645022,0.000,3.168502092,63.370,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:55:01+0100,Diabetes-Classification-with-SVM,GENAIGREENML_autonomous_chatgpt.py,OK,0,0.714286,0.000,1.052102804,21.042,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:55:02+0100,Diabetes-Classification-with-SVM,GENAIGREENML_autonomous_claude.py,OK,0,0.707792,0.000,1.037599087,20.752,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:55:03+0100,Diabetes-Classification-with-SVM,GENAIGREENML_autonomous_codex.py,OK,0,0.714286,0.000,1.102612019,22.052,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:55:04+0100,Diabetes-Classification-with-SVM,GENAIGREENML_autonomous_gemini.py,OK,0,0.753247,0.000,1.105489254,22.110,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:55:10+0100,diabetes_predictive_analysis,GENAIGREENML_original_telemetry_chatgpt.py,OK,0,0.720779,0.000,4.784595966,95.692,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:55:11+0100,diabetes_predictive_analysis,GENAIGREENML_assisted_chatgpt.py,OK,0,0.753247,0.000,1.152445078,23.049,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:55:12+0100,diabetes_predictive_analysis,GENAIGREENML_assisted_claude.py,OK,0,0.753247,0.000,1.158301353,23.166,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:55:13+0100,diabetes_predictive_analysis,GENAIGREENML_assisted_codex.py,OK,0,0.720779,0.000,1.102429152,22.049,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:55:16+0100,diabetes_predictive_analysis,GENAIGREENML_assisted_gemini.py,OK,0,0.668831,0.000,3.154198170,63.084,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:55:18+0100,diabetes_predictive_analysis,GENAIGREENML_autonomous_chatgpt.py,OK,0,0.714286,0.000,1.093238115,21.865,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:55:19+0100,diabetes_predictive_analysis,GENAIGREENML_autonomous_claude.py,OK,0,0.714286,0.000,1.053653717,21.073,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:55:20+0100,diabetes_predictive_analysis,GENAIGREENML_autonomous_codex.py,OK,0,0.727273,0.000,1.359108210,27.182,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:55:21+0100,diabetes_predictive_analysis,GENAIGREENML_autonomous_gemini.py,OK,0,0.714286,0.000,1.052391052,21.048,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:55:29+0100,dyslexia-randomforest,GENAIGREENML_original_telemetry_chatgpt.py,OK,0,0.735165,0.000,7.062252045,141.245,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:55:33+0100,dyslexia-randomforest,GENAIGREENML_assisted_chatgpt.py,OK,0,0.745055,0.000,4.101058006,82.021,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:55:38+0100,dyslexia-randomforest,GENAIGREENML_assisted_claude.py,OK,0,0.996392,0.000,4.176779032,83.536,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:55:39+0100,dyslexia-randomforest,GENAIGREENML_assisted_codex.py,OK,0,0.741758,0.000,1.710427999,34.209,requirements installed | energy approx on macOS using 20.0W
2026-03-12T10:55:43+0100,dyslexia-randomforest,GENAIGREENML_assisted_gemini.py,OK,0,0.945082,0.000,3.475275993,69.506,requirements installed | energy approx on macOS using 20.0W
